datetime,closed,motor_position,motor_range,trv_temperature,target_temperature,co2,temperature,humidity
2023-11-01 14:03:49,1.0,,,,,,,
2023-11-01 14:07:11,,,,,,1817.0,23.0,46.48
2023-11-01 14:08:49,1.0,,,,,,,
2023-11-01 14:12:39,,532.0,532.0,25.4,25.0,,,
2023-11-01 14:13:49,1.0,,,,,,,
2023-11-01 14:17:26,,,,,,2137.0,23.1,47.27
2023-11-01 14:18:49,1.0,,,,,,,
2023-11-01 14:23:49,1.0,,,,,,,
2023-11-01 14:27:15,,,,,,2349.0,23.1,47.66
2023-11-01 14:28:49,1.0,,,,,,,
2023-11-01 14:32:41,,532.0,532.0,25.4,25.0,,,
2023-11-01 14:33:49,1.0,,,,,,,
2023-11-01 14:37:44,,,,,,2608.0,23.1,48.05
2023-11-01 14:38:49,1.0,,,,,,,
2023-11-01 14:42:42,,532.0,532.0,25.4,25.0,,,
2023-11-01 14:43:49,1.0,,,,,,,
2023-11-01 14:47:56,,,,,,2601.0,23.2,48.83
2023-11-01 14:48:49,1.0,,,,,,,
2023-11-01 14:52:44,,532.0,532.0,25.4,25.0,,,
2023-11-01 14:53:49,1.0,,,,,,,
2023-11-01 14:58:08,,,,,,2921.0,23.3,50.0
2023-11-01 14:58:49,1.0,,,,,,,
2023-11-01 15:02:43,,532.0,532.0,25.5,25.0,,,
2023-11-01 15:03:49,1.0,,,,,,,
2023-11-01 15:08:20,,,,,,3037.0,23.3,50.39
2023-11-01 15:08:49,1.0,,,,,,,
2023-11-01 15:12:44,,532.0,532.0,25.5,25.0,,,
2023-11-01 15:18:32,,,,,,3191.0,23.3,50.78
2023-11-01 15:18:49,1.0,,,,,,,
2023-11-01 15:22:45,,532.0,532.0,25.5,25.0,,,
2023-11-01 15:23:49,1.0,,,,,,,
2023-11-01 15:28:44,,,,,,3390.0,23.3,51.17
2023-11-01 15:28:49,1.0,,,,,,,
2023-11-01 15:32:46,,532.0,532.0,25.5,25.0,,,
2023-11-01 15:33:49,1.0,,,,,,,
2023-11-01 15:38:49,1.0,,,,,,,
2023-11-01 15:38:57,,,,,,3565.0,23.3,51.95
2023-11-01 15:42:47,,532.0,532.0,25.5,25.0,,,
2023-11-01 15:43:49,1.0,,,,,,,
2023-11-01 15:48:49,1.0,,,,,,,
2023-11-01 15:49:09,,,,,,3344.0,23.4,51.17
2023-11-01 15:52:48,,532.0,532.0,25.5,25.0,,,
2023-11-01 15:53:49,1.0,,,,,,,
2023-11-01 15:58:49,1.0,,,,,,,
2023-11-01 15:59:23,,,,,,3423.0,23.4,51.56
2023-11-01 16:02:49,,532.0,532.0,25.5,25.0,,,
2023-11-01 16:03:49,1.0,,,,,,,
2023-11-01 16:08:49,1.0,,,,,,,
2023-11-01 16:09:35,,,,,,3547.0,23.3,51.56
2023-11-01 16:12:50,,532.0,532.0,25.5,25.0,,,
2023-11-01 16:13:48,1.0,,,,,,,
2023-11-01 16:18:48,1.0,,,,,,,
2023-11-01 16:19:45,,,,,,3704.0,23.4,51.95
2023-11-01 16:22:51,,532.0,532.0,25.5,25.0,,,
2023-11-01 16:23:48,1.0,,,,,,,
2023-11-01 16:28:48,1.0,,,,,,,
2023-11-01 16:29:50,,,,,,2784.0,23.4,49.22
2023-11-01 16:32:52,,532.0,532.0,25.4,25.0,,,
2023-11-01 16:33:48,1.0,,,,,,,
2023-11-01 16:38:48,1.0,,,,,,,
2023-11-01 16:40:03,,,,,,2175.0,23.3,48.44
2023-11-01 16:42:53,,532.0,532.0,25.4,25.0,,,
2023-11-01 16:43:48,1.0,,,,,,,
2023-11-01 16:48:48,1.0,,,,,,,
2023-11-01 16:50:08,,,,,,1910.0,23.3,47.66
2023-11-01 16:52:56,,532.0,532.0,25.4,25.0,,,
2023-11-01 16:53:48,1.0,,,,,,,
2023-11-01 16:58:48,1.0,,,,,,,
2023-11-01 17:00:13,,,,,,1913.0,23.2,47.27
2023-11-01 17:02:55,,532.0,532.0,25.4,25.0,,,
2023-11-01 17:03:48,1.0,,,,,,,
2023-11-01 17:08:48,1.0,,,,,,,
2023-11-01 17:10:20,,,,,,1853.0,23.2,47.27
2023-11-01 17:12:56,,532.0,532.0,25.4,25.0,,,
2023-11-01 17:13:48,1.0,,,,,,,
2023-11-01 17:18:48,1.0,,,,,,,
2023-11-01 17:22:57,,532.0,532.0,25.4,25.0,,,
2023-11-01 17:23:48,1.0,,,,,,,
2023-11-01 17:28:48,1.0,,,,,,,
2023-11-01 17:32:58,,532.0,532.0,25.4,25.0,,,
2023-11-01 17:33:48,1.0,,,,,,,
2023-11-01 17:38:48,1.0,,,,,,,
2023-11-01 17:40:39,,,,,,1920.0,23.2,47.66
